category,funding
Games,1200000.0
Graphics,1200000.0
iOS,1200000.0
iPhone,1200000.0
Kinect,1200000.0
Messaging,1200000.0
Mobile,1200000.0
Photography,1200000.0
Public Relations,1200000.0
Social Media,1200000.0
Video,1200000.0
Video Games,1200000.0
Advertising,5414717.0
E-Commerce,8052402.0
Advertising,1105001.0
Television,1105001.0
Games,1747500.0
Music,1747500.0
Health and Wellness,10000000.0
Coupons,15742.0
Discounts,15742.0
Online Shopping,15742.0
Clean Technology,5653260.0
Employment,5000000.0
Freelancers,5000000.0
Moneymaking,5000000.0
Software,12113690.0
Advertising,895000.0
Government Innovation,3000000.0
Curated Web,42000000.0
Mobile,3000000.0
Advertising,15000.0
Financial Services,150000.0
Consulting,20000000.0
B2B,255000.0
Peer-to-Peer,255000.0
Sales and Marketing,255000.0
Software,255000.0
Storage,255000.0
Internet,113000000.0
Payments,113000000.0
Fashion,13000000.0
Marketplaces,13000000.0
Mens Specific,13000000.0
Textiles,13000000.0
Women,13000000.0
Collaboration,224000.0
Messaging,224000.0
Productivity Software,224000.0
Project Management,224000.0
Entertainment,75000.0
Games,75000.0
Sports,75000.0
Finance Technology,235000000.0
FinTech,235000000.0
Local Businesses,235000000.0
Biofuels,22000000.0
Energy,22000000.0
Oil,22000000.0
Oil and Gas,22000000.0
Health Care,14710004.0
Finance,480000.0
Services,530000.0
Beauty,1500000.0
Enterprise Software,8160000.0
Mobile,59300009.0
Reviews and Recommendations,59300009.0
Storage,20000000.0
Education,18394.0
Human Resources,18394.0
Recruiting,18394.0
Training,18394.0
Accounting,47200000.0
B2B,47200000.0
Enterprise Software,47200000.0
Finance,47200000.0
Network Security,47200000.0
Electric Vehicles,617771.0
Technology,617771.0
Transportation,617771.0
Application Platforms,5400000.0
Information Technology,5400000.0
Service Providers,5400000.0
Education,500000.0
Knowledge Management,500000.0
Local Search,500000.0
Advertising,45000000.0
Mobile,60000.0
Web Hosting,3000000.0
Advertising,6000000.0
Software,1300000.0
Hotels,650000.0
Restaurants,650000.0
Social Network Media,650000.0
Tourism,650000.0
Travel,650000.0
Curated Web,2500000.0
Semiconductors,17600000000.0
Advertising,6963460.0
Software,4975000.0
Fitness,100000.0
Health and Wellness,100000.0
Medical Devices,100000.0
Advertising,16691.0
Diving,16691.0
Transportation,16691.0
Curated Web,12000000.0
Advertising,45139996.0
Enterprise Software,45139996.0
Television,45139996.0
Video,45139996.0
Games,492900.0
Agriculture,4900000.0
Internet of Things,4900000.0
Mobile,4900000.0
Mobile Commerce,4900000.0
Technology,4900000.0
B2B,23300000.0
Logistics,23300000.0
Shipping,23300000.0
Software,23300000.0
Supply Chain Management,23300000.0
Transportation,23300000.0
Digital Media,685000.0
Mobile Games,685000.0
Photography,685000.0
Curated Web,1000000.0
News,1000000.0
Social Media,8000000.0
Health and Wellness,9269316.0
Curated Web,27500.0
Collaborative Consumption,134680.0
E-Commerce,134680.0
File Sharing,134680.0
Internet of Things,134680.0
Location Based Services,134680.0
Social Commerce,134680.0
Social Media,134680.0
Apps,22614.0
Brand Marketing,22614.0
Games,22614.0
3D,2000000.0
Consumer Internet,2000000.0
Entertainment,2000000.0
Games,2000000.0
Internet,2000000.0
Social Games,2000000.0
Virtual Currency,2000000.0
Apps,3000000.0
Curated Web,3000000.0
Mobile,3000000.0
Social Media,3000000.0
Video,3000000.0
Advertising,200000.0
Incentives,200000.0
Loyalty Programs,200000.0
Sales and Marketing,200000.0
Consulting,7800000.0
Game,7800000.0
Professional Services,7800000.0
Hardware + Software,17500000.0
Semiconductors,48000000.0
Crowdsourcing,1475000.0
Events,1475000.0
Media,1475000.0
News,1475000.0
Biotechnology,106185472.0
Health and Wellness,106185472.0
Medical Devices,106185472.0
Technology,106185472.0
Health and Wellness,2950573.0
Consulting,100000.0
E-Commerce,100000.0
Electronics,100000.0
Mobile,100000.0
Web Tools,100000.0
Biotechnology,211691.0
E-Commerce,90999999.0
Groceries,90999999.0
Online Shopping,90999999.0
Organic Food,90999999.0
Delivery,500000.0
Hospitality,500000.0
Audio,8900000.0
Games,8900000.0
Video,8900000.0
Beauty,25000.0
Kids,25000.0
Communications Infrastructure,1100000.0
E-Commerce,1100000.0
Online Identity,1100000.0
Billing,30000000.0
Curated Web,30000000.0
Payments,30000000.0
Tracking,30000000.0
Customer Service,95051568.0
Customer Support Tools,95051568.0
Software,95051568.0
EdTech,4300000.0
Education,4300000.0
Internet,9000000.0
Food Processing,5000000.0
Business Analytics,1200000.0
Business Intelligence,1200000.0
Business Services,1200000.0
Cloud Data Services,1200000.0
CRM,1200000.0
Software,1200000.0
Mobile Payments,500000.0
Payments,500000.0
Games,2250521.0
Analytics,2484999.0
E-Commerce,2484999.0
Optimization,2484999.0
Food Processing,10000000.0
Enterprise Software,922000.0
News,140000.0
Apps,700000.0
Mobile Emergency&Health,700000.0
Social Media,700000.0
Public Relations,250000.0
Concerts,68852.0
Curated Web,68852.0
Databases,68852.0
Events,68852.0
Location Based Services,68852.0
Mobile,68852.0
Music,68852.0
Social Media,68852.0
Cloud Computing,5787150.0
Mobile,5787150.0
E-Commerce,81462.0
Internet,81462.0
Services,81462.0
Marketplaces,554105.0
Transportation,554105.0
Enterprise Software,500000.0
Software,350000.0
Cooking,1100000.0
Delivery,1100000.0
E-Commerce,1100000.0
Software,6200000.0
Social Media,4796229.0
Tourism,1655781.0
E-Commerce,650000.0
Emerging Markets,650000.0
Fashion,650000.0
Lifestyle,650000.0
Surfing Community,650000.0
Curated Web,5000000.0
MicroBlogging,5000000.0
Social Media,5000000.0
Social Network Media,5000000.0
Social Commerce,1200000.0
Enterprise Software,1500000.0
SaaS,1500000.0
Social Media,1500000.0
Web Tools,1500000.0
Advertising,250000.0
Blogging Platforms,250000.0
Internet,250000.0
Internet Marketing,250000.0
Sales and Marketing,250000.0
Social Media,250000.0
Social Media,5000000.0
Social Network Media,5000000.0
Advertising Networks,35000.0
Ediscovery,35000.0
iPhone,35000.0
Location Based Services,35000.0
Mobile,35000.0
Private Social Networking,35000.0
Social Media,35000.0
Games,551200000.0
Services,551200000.0
Social Network Media,551200000.0
Information Technology,395352.0
Mobile,1000000.0
Mobile Social,1000000.0
Social Network Media,1000000.0
Business Development,51578.0
Loyalty Programs,51578.0
Social Network Media,51578.0
Crowdfunding,637416.0
Finance,637416.0
Photography,1000000.0
Mobile,1170000.0
Contact Management,15000.0
Curated Web,15000.0
Networking,15000.0
Social Media,15000.0
Networking,48500000.0
Private Social Networking,48500000.0
Social Media,48500000.0
Apps,500000.0
Outdoors,750000.0
Sports,750000.0
Travel,750000.0
E-Commerce,500000.0
Developer APIs,30000000.0
Email,30000000.0
Facebook Applications,30000000.0
Messaging,30000000.0
Mobile,30000000.0
Search,30000000.0
Twitter Applications,30000000.0
VoIP,30000000.0
Wireless,30000000.0
Mobile,410000.0
Telecommunications,410000.0
Cosmetics,135000.0
Retail,135000.0
Retail Technology,135000.0
Advertising,3530000.0
Advertising,75000.0
Postal and Courier Services,75000.0
Startups,75000.0
Delivery,250000.0
E-Commerce,250000.0
Hospitality,250000.0
Restaurants,250000.0
Education,50000.0
Risk Management,50000.0
Training,50000.0
Customer Service,438862.0
Fashion,438862.0
Online Shopping,438862.0
Retail,438862.0
Enterprises,150000.0
Enterprise Software,150000.0
iPad,150000.0
iPhone,150000.0
Music,150000.0
Startups,150000.0
Information Technology,110000.0
Web Design,110000.0
Web Development,110000.0
Games,988356.0
Search,3109276.0
Mobile,2900000.0
Games,1650000.0
Internet Marketing,2515051.0
Games,1286600.0
Social Games,1286600.0
Apps,3250000.0
B2B,3250000.0
Email,3250000.0
Software,3250000.0
Mobile,11200000.0
Online Scheduling,11200000.0
Payments,11200000.0
SaaS,11200000.0
Android,7700000.0
Entertainment,7700000.0
Incentives,7700000.0
iPhone,7700000.0
Loyalty Programs,7700000.0
Mobile,7700000.0
QR Codes,7700000.0
Sales and Marketing,7700000.0
Data Centers,6600000.0
Educational Games,6600000.0
Nonprofits,16000000.0
Fashion,344853.0
Curated Web,3910000.0
Finance,3910000.0
Identity,3910000.0
Email,8000000.0
Software,8000000.0
Financial Services,430000.0
Intellectual Asset Management,430000.0
Investment Management,430000.0
Finance Technology,1885043.0
Financial Services,1885043.0
FinTech,1885043.0
Hedge Funds,1885043.0
Wealth Management,1885043.0
Communities,4500000.0
Public Safety,4500000.0
Services,4500000.0
Big Data,2833481.0
News,2833481.0
Search,2833481.0
Semantic Web,2833481.0
Business Intelligence,380133.0
Business Services,380133.0
Information Services,380133.0
Nanotechnology,150000.0
Software,1255000.0
Semiconductors,59360455.77
Analytics,11400000.0
Emerging Markets,11400000.0
Information Services,11400000.0
Market Research,11400000.0
Health Care,655000.0
Environmental Innovation,3400000.0
Health and Wellness,3400000.0
Water,3400000.0
E-Commerce,40000.0
Software,200000.0
SaaS,478000.0
Sales and Marketing,478000.0
Software,478000.0
Aerospace,2000000.0
Defense,2000000.0
Services,2000000.0
Digital Media,18000000.0
Mobile,18000000.0
Mobile Coupons,18000000.0
News,18000000.0
E-Commerce,1308754.0
Internet,1308754.0
Online Shopping,1308754.0
Small and Medium Businesses,1308754.0
Social Media,1308754.0
Internet,688629.0
Software,688629.0
Web Design,688629.0
Consumers,32500.0
Education,32500.0
Gps,310001.0
Hardware + Software,310001.0
Social Media,310001.0
Video,310001.0
Social Media,245000.0
E-Commerce,97100000.0
E-Commerce,1618000.0
Health and Wellness,1618000.0
Organic Food,1618000.0
Specialty Foods,1618000.0
Computers,300000.0
Telecommunications,300000.0
Wireless,300000.0
Curated Web,140000.0
Education,330000.0
Mobile,330000.0
Parenting,330000.0
Tablets,330000.0
Health Care Information Technology,3700000.0
Healthcare Services,3700000.0
Mobile Health,3700000.0
Personal Health,3700000.0
E-Commerce,80000000.0
Banking,760267.0
Crowdfunding,760267.0
Finance Technology,760267.0
FinTech,760267.0
Machine Learning,760267.0
Peer-to-Peer,760267.0
Real Estate,760267.0
Cloud Computing,17484065.0
Consulting,17484065.0
Enterprise Software,17484065.0
Information Technology,17484065.0
IT Management,17484065.0
Services,17484065.0
Curated Web,20000.0
Education,20000.0
High Schools,20000.0
Sports,1882200.0
Clean Technology,70475450.0
E-Commerce,5375000.0
Enterprise Software,517000.0
Software,1775000.0
Local Businesses,160000.0
Public Safety,25000000.0
Security,25000000.0
Biotechnology,1082192.0
Curated Web,6000000.0
FinTech,6000000.0
Payments,6000000.0
Document Management,1500000.0
Intellectual Property,1500000.0
Legal,1500000.0
Clean Technology,52750000.0
Software,14060000.0
Games,413612.0
Sports,5575000.0
Subscription Service,5575000.0
Television,5575000.0
Enterprises,5000000.0
Enterprise Software,5000000.0
Social Media,1500000.0
Consumers,214527.0
Gas,214527.0
Services,214527.0
3D,13249402.0
3D Technology,13249402.0
Hardware + Software,13249402.0
Manufacturing,30000000.0
Entertainment,40000.0
Film,40000.0
Information Services,524260.0
Gamification,50000.0
Gas,50000.0
Incentives,50000.0
iOS,50000.0
Mobile,50000.0
Software,50000.0
Technology,50000.0
E-Commerce,40000.0
Curated Web,924752.0
Hardware + Software,40000000.0
Enterprise Software,66248970.0
Hardware + Software,80000000.0
Analytics,12100000.0
User Experience Design,12100000.0
Video,12100000.0
Clean Technology,6000000.0
Mobile,3579319.0
Farming,400000000.0
Food Processing,400000000.0
Clean Technology,119000000.0
Semiconductors,81017493.0
Health Care,8000000.0
Medical,8000000.0
Pharmaceuticals,8000000.0
Biotechnology,6500000.0
Therapeutics,2261700.0
Lighting,10000000.0
Manufacturing,10000000.0
Software,12000000.0
E-Commerce,27500.0
Software,3800000.0
Biotechnology,250000.0
Education,5500000.0
Machine Learning,10000000.0
Lifestyle,50000.0
Media,50000.0
News,50000.0
Social Media,50000.0
Digital Media,1125000.0
Services,1125000.0
Technology,1125000.0
Education,27900048.0
Business Services,1500000.0
Finance,1500000.0
Small and Medium Businesses,1500000.0
Location Based Services,3500000.0
Social Media,3500000.0
Social Search,3500000.0
Contact Management,18868000.0
Databases,18868000.0
Developer APIs,18868000.0
Enterprise Software,18868000.0
Search,18868000.0
Big Data Analytics,3100000.0
Mobile Analytics,3100000.0
Small and Medium Businesses,5000.0
Digital Media,30000000.0
News,30000000.0
Internet,11897854.0
Building Products,30000000.0
Manufacturing,30000000.0
Service Providers,30000000.0
Semiconductors,12350000.0
Cloud Data Services,42850000.0
Mobile,42850000.0
Synchronization,42850000.0
Wireless,42850000.0
Advertising,1010000.0
Entertainment,1010000.0
Social Games,1010000.0
Medical,20000.0
Health Care,10400000.0
Consumers,461500.0
Finance Technology,178941.0
FinTech,178941.0
SaaS,178941.0
Real Estate,40000.0
Education,38964.0
E-Commerce,3000000.0
Angels,1600000.0
Crowdfunding,1600000.0
Employment,1600000.0
Finance,1600000.0
Crowdfunding,2250000.0
Finance,2250000.0
Venture Capital,2250000.0
Finance,5150000.0
Finance,2728967.0
Finance Technology,2728967.0
FinTech,2728967.0
Finance,1900000.0
FinTech,1900000.0
Business Analytics,107500000.0
Enterprise Software,107500000.0
Payments,107500000.0
Software,107500000.0
Real Estate,575000.0
Crowdfunding,540000.0
Crowdsourcing,540000.0
Finance,540000.0
Finance Technology,540000.0
Finance,14900000.0
Big Data Analytics,2147583.669
Business Intelligence,2147583.669
Market Research,2147583.669
Startups,2147583.669
Trading,2147583.669
Software,67868.0
Finance,6500000.0
Advice,129278.0
Enterprise Software,129278.0
Entrepreneur,129278.0
Finance,129278.0
FinTech,129278.0
Human Resources,129278.0
SaaS,129278.0
Venture Capital,129278.0
Curated Web,150000.0
Finance,273237070.0
Financial Services,273237070.0
Personal Finance,273237070.0
Accounting,1163601.0
Collectibles,1163601.0
Credit,1163601.0
Payments,1163601.0
SaaS,1163601.0
Small and Medium Businesses,1163601.0
Software,1163601.0
B2B,4734777.0
Enterprises,4734777.0
Finance,4734777.0
FinTech,4734777.0
Small and Medium Businesses,4734777.0
Crowdfunding,1250000.0
Financial Services,1250000.0
Marketplaces,1250000.0
Auctions,450000.0
Financial Services,450000.0
Peer-to-Peer,450000.0
Small and Medium Businesses,450000.0
Colleges,7800000.0
Crowdfunding,7800000.0
Education,7800000.0
Health and Wellness,7800000.0
Nonprofits,7800000.0
Payments,7800000.0
Politics,7800000.0
Social Fundraising,7800000.0
Social Media,7800000.0
Software,7800000.0
Data Security,500000.0
Finance,500000.0
Finance Technology,500000.0
FinTech,500000.0
Information Security,500000.0
Network Security,500000.0
Technology,500000.0
Curated Web,1450000.0
Finance,1450000.0
Nonprofits,1450000.0
Advertising,296838.0
Crowdfunding,296838.0
Facebook Applications,296838.0
Non Profit,296838.0
Nonprofits,296838.0
P2P Money Transfer,296838.0
Social Commerce,296838.0
Social Media,296838.0
Crowdfunding,40985000.0
Finance,40985000.0
Finance Technology,40985000.0
FinTech,40985000.0
Investment Management,40985000.0
Real Estate,40985000.0
Finance,15412000.0
Financial Services,15412000.0
Financial Services,5000000.0
Financial Services,2200000.0
Small and Medium Businesses,2200000.0
Investment Management,65659.0
Small and Medium Businesses,65659.0
Venture Capital,65659.0
Social Media,200000.0
Startups,200000.0
Application Platforms,38221.0
Education,38221.0
Language Learning,38221.0
Games,217320.0
Games,6906423.0
Customer Service,300000.0
E-Commerce,300000.0
Fashion,300000.0
Sales and Marketing,300000.0
Mobile,719734.0
Development Platforms,2850000.0
Gamification,2850000.0
Services,2850000.0
E-Commerce,730925.0
Fashion,730925.0
Shopping,730925.0
Photography,2000000.0
Games,3050000.0
Online Gaming,1800000.0
Publishing,1800000.0
Services,1800000.0
Sporting Goods,40898.0
Online Reservations,247583.0
Android,15605.0
Internet,15605.0
Security,15605.0
Software,15605.0
Games,520094.0
Apps,1000000.0
Developer APIs,1000000.0
Development Platforms,1000000.0
Games,1000000.0
SaaS,800000.0
Sales and Marketing,800000.0
Software,800000.0
Advertising,555000.0
E-Commerce,555000.0
Performance Marketing,555000.0
SaaS,555000.0
Sales and Marketing,555000.0
Software,555000.0
Celebrity,18000000.0
Entertainment,18000000.0
Games,18000000.0
Video,18000000.0
Logistics,325716.0
Network Security,325716.0
Security,325716.0
Services,325716.0
Games,87000000.0
Social Media,87000000.0
Mobile,40000.0
Games,6000000.0
Photography,4000000.0
Biotechnology,12200000.0
Education,670220.0
Mobile,670220.0
Communities,1500000.0
Entertainment,1500000.0
Leisure,1500000.0
Social Media,1500000.0
Games,20000000.0
Internet,400000.0
Manufacturing,160000000.0
Natural Resources,160000000.0
Oil & Gas,160000000.0
Biotechnology,15000000.0
Advertising,550000.0
Enterprise Software,550000.0
Online Video Advertising,550000.0
Publishing,1126000.0
Television,1126000.0
Video,1126000.0
Consumers,6000000.0
Curated Web,1450000.0
E-Commerce,1450000.0
Online Reservations,1450000.0
Online Travel,1450000.0
E-Commerce,250000.0
Furniture,250000.0
Home & Garden,250000.0
Lighting,250000.0
Brand Marketing,80000.0
Content,80000.0
Digital Media,80000.0
Publishing,80000.0
Consumer Electronics,1300000.0
Embedded Hardware and Software,1300000.0
Sporting Goods,1300000.0
Wearables,1300000.0
Software,6300000.0
Advertising Platforms,13000000.0
Mobile,13000000.0
Mobile Advertising,13000000.0
Mobile Games,13000000.0
Consumer Goods,4250000.0
Design,4250000.0
Education,10000000.0
Internet,10000000.0
Social Media,10000000.0
Billing,4324801.953
Finance,4324801.953
Payments,4324801.953
Software,19000000.0
Sports,290000.0
Biotechnology,2500000.0
Clean Technology,1151209.0
Networking,6000000.0
Software,6000000.0
Hardware + Software,6500000.0
Enterprise Software,111500000.0
Software,111500000.0
Design,7500000.0
Graphic Design,7500000.0
User Experience Design,7500000.0
Finance,12800000.0
Telecommunications,100000.0
Media,213900.0
Mobile,213900.0
Software,213900.0
Video,213900.0
Communications Infrastructure,24210500.0
Mobile,24210500.0
Public Relations,24210500.0
Mobile,50000.0
Mobile,6000000.0
Health Care,200000.0
Analytics,18656544.0
SaaS,18656544.0
Subscription Businesses,18656544.0
Data Security,1067230.0
Enterprises,1067230.0
Mobile,1067230.0
Software,15000000.0
Payments,200000.0
Rental Housing,200000.0
Social Media,200000.0
Banking,300000.0
Financial Services,300000.0
Internet,300000.0
Blogging Platforms,500000.0
Service Providers,500000.0
Social Media,500000.0
Discounts,1350000.0
Hardware + Software,1350000.0
Technology,1350000.0
Health and Wellness,18183017.0
News,2630000.0
Advertising,1953659.0
Mobile Advertising,1953659.0
Design,1653913.0
Governments,1653913.0
Technology,1653913.0
Software,3046000.0
Biotechnology,1010000.0
Home Decor,2713339.0
Home Renovation,2713339.0
Lifestyle,2713339.0
Smart Building,2713339.0
Business Services,18000.0
Data Mining,18000.0
Internet,18000.0
Biotechnology,81837.0
Health Care,2056092.0
CRM,8259410.0
Tracking,8259410.0
Finance,21500000.0
Financial Services,21500000.0
Investment Management,21500000.0
Software,21500000.0
Beauty,165778.0
Cosmetics,165778.0
E-Commerce,165778.0
Social Media,165778.0
Mobile Commerce,1334560.0
Software,1334560.0
Wireless,1334560.0
Mobile,1500000.0
Navigation,1500000.0
Real Time,1500000.0
Software,3000000.0
Enterprise Software,865216.0
Game,429190.6894
Tourism,324999.0
Travel,324999.0
Vacation Rentals,324999.0
Advertising,3827385.0
Finance,8065397.0
Curated Web,10000.0
Internet,10000.0
Messaging,10000.0
Social Network Media,10000.0
App Marketing,7624000.0
Augmented Reality,7624000.0
Digital Signage,7624000.0
Internet Marketing,7624000.0
Mobile,7624000.0
Investment Management,14000000.0
Collaboration,68500000.0
Enterprise Application,68500000.0
Enterprise Software,68500000.0
SaaS,68500000.0
Software,68500000.0
Video Conferencing,68500000.0
Fitness,500000.0
Games,500000.0
Kids,500000.0
Game,60000000.0
Finance,3700000.0
FinTech,3700000.0
Mobile Payments,3700000.0
Payments,3700000.0
Collaboration,271000.0
Enterprise Software,271000.0
Ventures for Good,271000.0
Games,1647446.0
Video,1647446.0
Pets,96850.0
Career Management,858385.7281
Consulting,858385.7281
Services,858385.7281
Consulting,15000.0
Graphics,15000.0
Venture Capital,15000.0
Software,5500000.0
Advertising,72360.0
Sales and Marketing,72360.0
Social Media,72360.0
Health and Wellness,7500.0
Finance,1250000.0
Software,4534706.0
E-Commerce,2000000.0
Finance Technology,400000.0
Financial Services,400000.0
FinTech,400000.0
Travel,80000000.0
Computers,41000.0
Mobile,41000.0
Photography,41000.0
Tablets,41000.0
Video,41000.0
E-Commerce,25000000.0
Retail,25000000.0
Advertising,400000.0
Business Services,400000.0
Lead Generation,400000.0
Marketing Automation,400000.0
Public Relations,400000.0
Big Data,2400000.0
Big Data Analytics,2400000.0
Machine Learning,2400000.0
Match-Making,2400000.0
Mobile,2400000.0
Real Estate,2400000.0
E-Commerce,1100000.0
Real Estate,1100000.0
Search,1100000.0
Messaging,1000000.0
3D,16350000.0
3D Printing,16350000.0
3D Technology,16350000.0
Biotechnology,3000.0
Intellectual Property,3000.0
Organic,3000.0
Gold,17000000.0
Internet,17000000.0
Trading,17000000.0
Biotechnology,5000000.0
Manufacturing,5000000.0
Pharmaceuticals,5000000.0
Dietary Supplements,2677000.0
Health and Wellness,2677000.0
Internet of Things,2677000.0
Nutrition,2677000.0
Cloud Computing,3000000.0
Web Hosting,3000000.0
Automotive,11500000.0
Customer Service,11500000.0
Sporting Goods,11500000.0
Biotechnology,2393500.0
Medical Devices,2393500.0
Design,41250.0
Innovation Management,41250.0
Product Search,41250.0
Farmers Market,300000.0
Fuels,300000.0
Transportation,300000.0
Diagnostics,4167323.0
Health Care,4167323.0
Health Diagnostics,4167323.0
Entertainment,2511040.0
Big Data Analytics,2980545.0
SaaS,2980545.0
Sales and Marketing,2980545.0
Travel,2000000.0
Clinical Trials,600000.0
Diagnostics,600000.0
Health Diagnostics,600000.0
Medical Devices,600000.0
Clean Technology,644692.0
Biotechnology,1220786.0
Biotechnology,45500000.0
Games,38000000.0
Enterprise Software,11500000.0
Internet,11500000.0
Reviews and Recommendations,11500000.0
Hardware + Software,23150000.0
Software,5000000.0
Biotechnology,235000.0
Electric Vehicles,3500000.0
Electronics,3500000.0
Information Technology,3500000.0
Industrial,481894.0
Analytics,262530.0
Security,541000000.0
Internet Marketing,91000000.0
Local Search,91000000.0
Software,91000000.0
Automotive,575000.0
E-Commerce,575000.0
Enterprise Software,575000.0
SaaS,575000.0
Finance,87468.0
Games,87468.0
Insurance,87468.0
Marketplaces,87468.0
Security,87468.0
Trading,87468.0
Video Games,87468.0
Interest Graph,570000.0
Local,570000.0
Mobile,570000.0
Proximity Internet,570000.0
Social Media,570000.0
Games,75000.0
Kids,75000.0
Music,75000.0
Electronics,100000.0
Gadget,100000.0
Hardware + Software,100000.0
iPad,100000.0
iPhone,100000.0
Mobile,100000.0
Clean Technology,115794000.0
Internet,2480661.0
Social CRM,2480661.0
Social Network Media,2480661.0
Sports,2480661.0
Enterprise Software,6400000.0
Networking,6400000.0
SaaS,6400000.0
Games,31930000.0
Home Decor,350000.0
Internet,350000.0
Shopping,350000.0
Biotechnology,1700000.0
Software,600000.0
Hardware + Software,5150000.0
Advertising Platforms,137621.0
Brand Marketing,137621.0
Communities,137621.0
Internet,137621.0
Apps,500000.0
Cable,500000.0
Mobile,500000.0
Apps,53750.0
Internet,53750.0
Social Network Media,53750.0
Games,45039999.0
Fitness,2790000.0
Health and Wellness,2790000.0
Bitcoin,2450000.0
Enterprise Software,104250000.0
Sales Automation,104250000.0
Semiconductors,118188900.0
Cable,48271995.0
Communications Hardware,48271995.0
Communications Infrastructure,48271995.0
Networking,48271995.0
Optical Communications,48271995.0
Biotechnology,5700000.0
Biotechnology,8858230.0
Hotels,4790345.0
Tourism,4790345.0
Travel,4790345.0
Biotechnology,550814.0
Software,249990.0
Analytics,600000.0
Business Intelligence,600000.0
Semiconductors,6600000.0
Finance,2120000.0
Biotechnology,13500000.0
Health and Wellness,40000.0
Biotechnology,58610000.0
Cloud Computing,1152531.81
Developer Tools,1152531.81
Health Care,1152531.81
Information Technology,1152531.81
Life Sciences,1152531.81
Health Care,52000000.0
Technology,15460000.0
Biotechnology,17500000.0
Content,100000.0
Photography,100000.0
Photography,2500000.0
Advertising,2000000.0
Analytics,2000000.0
Sales and Marketing,2000000.0
Real Estate,17000000.0
Communities,24000000.0
Education,24000000.0
Venture Capital,24000000.0
Creative Industries,3000000.0
Education,3000000.0
Material Science,3000000.0
Toys,825.0
Biotechnology,3988460.0
Agriculture,800000.0
Big Data,800000.0
Drones,800000.0
Technology,800000.0
Unmanned Air Systems,800000.0
Apps,394360.0
Information Technology,394360.0
Shared Services,394360.0
Software,394360.0
Entertainment,120000.0
Gambling,120000.0
Games,120000.0
Social Media,120000.0
Sports,120000.0
Games,12000000.0
Games,12000000.0
Software,12000000.0
Web Development,12000000.0
Android,400000.0
Entertainment,400000.0
Games,400000.0
iOS,400000.0
iPad,400000.0
iPhone,400000.0
Mobile,400000.0
All Students,273614.0
Education,273614.0
Innovation Management,273614.0
Search,273614.0
Services,273614.0
Universities,273614.0
Consulting,29651.0
Gamification,29651.0
Software,29651.0
Facebook Applications,25000000.0
Games,25000000.0
Networking,25000000.0
Advertising Platforms,1600000.0
Apps,1600000.0
Brand Marketing,1600000.0
Mobile Games,1600000.0
Retail,1600000.0
Games,65000.0
Health and Wellness,262500.0
Gamification,25000.0
Nonprofits,25000.0
Social Fundraising,25000.0
Entertainment,20000.0
Games,3900000.0
Games,9000000.0
Games,620000.0
Social Games,620000.0
Virtual Worlds,620000.0
Games,3107198.0
Video,3107198.0
Software,33638582.0
Games,8000000.0
Games,22500.0
Mobile,22500.0
Apps,10632657.0
Digital Media,10632657.0
iPhone,10632657.0
Local,10632657.0
Mobile,10632657.0
Software,10632657.0
Sports,10632657.0
Games,700000.0
iOS,50000.0
Mobile,50000.0
Online Dating,50000.0
Entertainment,17000000.0
Games,17000000.0
Social Media,17000000.0
Apps,600000.0
Casual Games,600000.0
Game,600000.0
Mobile,600000.0
Social Network Media,600000.0
Digital Media,6500000.0
Photography,6500000.0
Social Media Marketing,6500000.0
Software,6500000.0
Sports,6500000.0
Enterprise Software,3000000.0
Games,10748830.0
Fashion,11400000.0
Games,11400000.0
Gamification,11400000.0
Internet,11400000.0
Online Gaming,11400000.0
Games,25000.0
Social Media,25000.0
Social Network Media,25000.0
Casual Games,1000000.0
Games,1000000.0
Messaging,1000000.0
Mobile,1000000.0
Mobile Games,1000000.0
Mobile Social,1000000.0
Social + Mobile + Local,1000000.0
Technology,1010000.0
Browser Extensions,2000000.0
Games,2000000.0
Web Browsers,2000000.0
Games,65853.0
Public Relations,65853.0
Social Media,65853.0
Games,220000.0
Games,28600000.0
Ediscovery,100000.0
Fashion,100000.0
File Sharing,100000.0
Gamification,100000.0
Internet,100000.0
iPhone,100000.0
Lifestyle,100000.0
Location Based Services,100000.0
Mobile,100000.0
Networking,100000.0
Photography,100000.0
Social Media,100000.0
Startups,100000.0
Travel,100000.0
Games,12866000.0
Chat,1500000.0
Digital Media,1500000.0
Social Media,1500000.0
Sports,1500000.0
Online Gaming,34060.0
Career Planning,398995.795
Corporate Training,398995.795
EdTech,398995.795
Skill Assessment,398995.795
Software,3050000.0
Games,3000000.0
Games,5000000.0
Games,11000000.0
Games,500000.0
Games,10000000.0
Games,13000000.0
Content,7100000.0
Game,7100000.0
Games,7100000.0
iOS,7100000.0
iPad,7100000.0
iPhone,7100000.0
iPod Touch,7100000.0
Mac,7100000.0
Mobile,7100000.0
Mobile Games,7100000.0
Software,7100000.0
Games,5000000.0
Games,840000.0
Games,2300000.0
Internet,2300000.0
Publishing,2300000.0
Video Games,2300000.0
Games,1000000.0
Video Games,1000000.0
Apps,13300000.0
Mobile,13300000.0
Mobile Commerce,13300000.0
Sports,13300000.0
Ticketing,13300000.0
Advertising,251851.0
Games,251851.0
Networking,251851.0
Video Games,251851.0
Video on Demand,251851.0
Video Streaming,251851.0
Games,50000.0
